# 时间戳(ms),丢包率(%)
18100,0.000
18200,0.000
18300,0.000
18400,0.000
18500,0.000
18600,0.000
18700,0.000
18800,0.000
18900,0.000
19000,0.000
19100,0.000
19200,0.000
19300,0.000
19400,0.000
19500,0.000
19600,0.000
19700,0.000
19800,0.000
19900,0.000
20000,0.000
20100,0.000
20200,0.000
20300,0.000
20400,0.000
20500,0.000
20600,0.000
20700,0.000
20800,0.000
20900,0.000
21000,0.000
21100,0.000
21200,0.000
21300,0.000
21400,0.000
21500,0.000
21600,0.000
21700,0.000
21800,0.000
21900,0.000
22000,0.000
22100,0.000
22200,0.000
22300,0.000
22400,0.000
22500,0.000
22600,0.000
22700,0.000
22800,0.000
22900,0.000
23000,0.000
23100,0.000
23200,0.000
23300,0.000
23400,0.000
23500,0.000
23600,0.000
23700,0.000
23800,0.000
23900,0.000
24000,0.000
24100,0.000
24200,0.000
24300,0.000
24400,0.000
24500,0.000
24600,0.000
24700,0.000
24800,0.000
24900,0.000
25000,0.000
25100,0.000
25200,0.000
25300,0.000
25400,0.000
25500,0.000
25600,0.000
25700,0.000
25800,0.000
25900,0.000
26000,0.000
26100,0.000
26200,0.000
26300,0.000
26400,0.000
26500,0.000
26600,0.000
26700,0.000
26800,0.000
26900,0.000
27000,0.000
27100,0.000
27200,0.000
27300,0.000
27400,0.000
27500,0.000
27600,0.000
27700,0.000
27800,0.000
27900,0.000
28000,0.000
28100,0.000
28200,0.000
28300,0.000
28400,0.000
28500,0.000
28600,0.000
28700,0.000
28800,0.000
28900,0.000
29000,0.000
29100,0.000
29200,0.000
29300,0.000
29400,0.000
29500,0.000
29600,0.000
29700,0.000
29800,0.000
29900,0.000
30000,0.000
30100,0.000
30200,0.000
30300,0.000
30400,0.000
30500,0.000
30600,0.000
30700,0.000
30800,0.000
30900,0.000
31000,0.000
31100,0.000
31200,0.000
31300,0.000
31400,0.000
31500,0.000
31600,0.000
31700,0.000
31800,0.000
31900,0.000
32000,0.000
32100,0.000
32200,0.000
32300,0.000
32400,0.000
32500,0.000
32600,0.000
32700,0.000
32800,0.000
32900,0.000
33000,0.000
33100,0.000
33200,0.000
33300,0.000
33400,0.000
33500,0.000
33600,0.000
33700,0.000
33800,0.000
33900,0.000
34000,0.000
34100,0.000
34200,0.000
34300,0.000
34400,0.000
34500,0.000
34600,0.000
34700,0.000
34800,0.000
34900,0.000
35000,0.000
35100,0.000
35200,0.000
35300,0.000
35400,0.000
35500,0.000
35600,0.000
35700,0.000
35800,0.000
35900,0.000
36000,0.000
36100,0.000
36200,0.000
36300,0.000
36400,0.000
36500,0.000
36600,0.000
36700,0.000
36800,0.000
36900,0.000
37000,0.000
37100,0.000
37200,0.000
37300,0.000
37400,0.000
37500,0.000
37600,0.000
37700,0.000
37800,0.000
37900,0.000
38000,0.000
38100,0.000
38200,0.000
38300,0.000
38400,0.000
38500,0.000
38600,0.000
38700,0.000
38800,0.000
38900,0.000
39000,0.000
39100,0.000
39200,0.000
39300,0.000
39400,0.000
39500,0.000
39600,0.000
39700,0.000
39800,0.000
39900,0.000
40000,0.000
40100,0.000
40200,0.000
40300,0.000
40400,0.000
40500,0.000
40600,0.000
40700,0.000
40800,0.000
40900,0.000
41000,0.000
41100,0.000
41200,0.000
41300,0.000
41400,0.000
41500,0.000
41600,0.000
41700,0.000
41800,0.000
41900,0.000
42000,0.000
42100,0.000
42200,0.000
42300,0.000
42400,0.000
42500,0.000
42600,0.000
42700,0.000
42800,0.000
42900,0.000
43000,0.000
43100,0.000
43200,0.000
43300,0.000
43400,0.000
43500,0.000
43600,0.000
43700,0.000
43800,0.000
43900,0.000
44000,0.000
44100,0.000
44200,0.000
44300,0.000
44400,0.000
44500,0.000
44600,0.000
44700,0.000
44800,0.000
44900,0.000
45000,0.000
45100,0.000
45200,0.000
45300,0.000
45400,0.000
45500,0.000
45600,0.000
45700,0.000
45800,0.000
45900,0.000
46000,0.000
46100,0.000
46200,0.000
46300,0.000
46400,0.000
46500,0.000
46600,0.000
46700,0.000
46800,0.000
46900,0.000
47000,0.000
47100,0.000
47200,0.000
47300,0.000
47400,0.000
47500,0.000
47600,0.000
47700,0.000
47800,0.000
47900,0.000
48000,0.000
48100,0.000
48200,0.000
48300,0.000
48400,0.000
48500,0.000
48600,0.000
48700,0.000
48800,0.000
48900,0.000
49000,0.000
49100,0.000
49200,0.000
49300,0.000
49400,0.000
49500,0.000
49600,0.000
49700,0.000
49800,0.000
49900,0.000
50000,0.000
50100,0.000
50200,0.000
50300,0.000
50400,0.000
50500,0.000
50600,0.000
50700,0.000
50800,0.000
50900,0.000
51000,0.000
51100,0.000
51200,0.000
51300,0.000
51400,0.000
51500,0.000
51600,0.000
51700,0.000
51800,0.000
51900,0.000
52000,0.000
52100,0.000
52200,0.000
52300,0.000
52400,0.000
52500,0.000
52600,0.000
52700,0.000
52800,0.000
52900,0.000
53000,0.000
53100,0.000
53200,0.000
53300,0.000
53400,0.000
53500,0.000
53600,0.000
53700,0.000
53800,0.000
53900,0.000
54000,0.000
54100,0.000
54200,0.000
54300,0.000
54400,0.000
54500,0.000
54600,0.000
54700,0.000
54800,0.000
54900,0.000
55000,0.000
55100,0.000
55200,0.000
55300,0.000
55400,0.000
55500,0.000
55600,0.000
55700,0.000
55800,0.000
55900,0.000
56000,0.000
56100,0.000
56200,0.000
56300,0.000
56400,0.000
56500,0.000
56600,0.000
56700,0.000
56800,0.000
56900,0.000
57000,0.000
57100,0.000
57200,0.000
57300,0.000
57400,0.000
57500,0.000
57600,0.000
57700,0.000
57800,0.000
57900,0.000
58000,0.000
58100,0.000
58200,0.000
58300,0.000
58400,0.000
58500,0.000
58600,0.000
58700,0.000
58800,0.000
58900,0.000
59000,0.000
59100,0.000
59200,0.000
59300,0.000
59400,0.000
59500,0.000
59600,0.000
59700,0.000
59800,0.000
59900,0.000
60000,0.000
60100,0.000
60200,0.000
60300,0.000
60400,0.000
60500,0.000
60600,0.000
60700,0.000
60800,0.000
60900,0.000
61000,0.000
61100,0.000
61200,0.000
61300,0.000
61400,0.000
61500,0.000
61600,0.000
61700,0.000
61800,0.000
61900,0.000
62000,0.000
62100,0.000
62200,0.000
62300,0.000
62400,0.000
62500,0.000
62600,0.000
62700,0.000
62800,0.000
62900,0.000
63000,0.000
63100,0.000
63200,0.000
63300,0.000
63400,0.000
63500,0.000
63600,0.000
63700,0.000
63800,0.000
63900,0.000
64000,0.000
64100,0.000
64200,0.000
64300,0.000
64400,0.000
64500,0.000
64600,0.000
64700,0.000
64800,0.000
64900,0.000
65000,0.000
65100,0.000
65200,0.000
65300,0.000
65400,0.000
65500,0.000
65600,0.000
65700,0.000
65800,0.000
65900,0.000
66000,0.000
66100,0.000
66200,0.000
66300,0.000
66400,0.000
66500,0.000
66600,0.000
66700,0.000
66800,0.000
66900,0.000
67000,0.000
67100,0.000
67200,0.000
67300,0.000
67400,0.000
67500,0.000
67600,0.000
67700,0.000
67800,0.000
67900,0.000
68000,0.000
68100,0.000
68200,0.000
68300,0.000
68400,0.000
68500,0.000
68600,0.000
68700,0.000
68800,0.000
68900,0.000
69000,0.000
69100,0.000
69200,0.000
69300,0.000
69400,0.000
69500,0.000
69600,0.000
69700,0.000
69800,0.000
69900,0.000
70000,0.000
70100,0.000
70200,0.000
70300,0.000
70400,0.000
70500,0.000
70600,0.000
70700,0.000
70800,0.000
70900,0.000
71000,0.000
71100,0.000
71200,0.000
71300,0.000
71400,0.000
71500,0.000
71600,0.000
71700,0.000
71800,0.000
71900,0.000
72000,0.000
72100,0.000
72200,0.000
72300,0.000
72400,0.000
72500,0.000
72600,0.000
72700,0.000
72800,0.000
72900,0.000
73000,0.000
73100,0.000
73200,0.000
73300,0.000
73400,0.000
73500,0.000
73600,0.000
73700,0.000
73800,0.000
73900,0.000
74000,0.000
74100,0.000
74200,0.000
74300,0.000
74400,0.000
74500,0.000
74600,0.000
74700,0.000
74800,0.000
74900,0.000
75000,0.000
75100,0.000
75200,0.000
75300,0.000
75400,0.000
75500,0.000
75600,0.000
75700,0.000
75800,0.000
75900,0.000
76000,0.000
76100,0.000
76200,0.000
76300,0.000
76400,0.000
76500,0.000
76600,0.000
76700,0.000
76800,0.000
76900,0.000
77000,0.000
77100,0.000
77200,0.000
77300,0.000
77400,0.000
77500,0.000
77600,0.000
77700,0.000
77800,0.000
77900,0.000
78000,0.000
78100,0.000
78200,0.000
78300,0.000
78400,0.000
78500,0.000
78600,0.000
78700,0.000
78800,0.000
78900,0.000
79000,0.000
79100,0.000
79200,0.000
79300,0.000
79400,0.000
79500,0.000
79600,0.000
79700,0.000
79800,0.000
79900,0.000
80000,0.000
80100,0.000
80200,0.000
80300,0.000
80400,0.000
80500,0.000
80600,0.000
80700,0.000
80800,0.000
80900,0.000
81000,0.000
81100,0.000
81200,0.000
81300,0.000
81400,0.000
81500,0.000
81600,0.000
81700,0.000
81800,0.000
81900,0.000
82000,0.000
82100,0.000
82200,0.000
82300,0.000
82400,0.000
82500,0.000
82600,0.000
82700,0.000
82800,0.000
82900,0.000
83000,0.000
83100,0.000
83200,0.000
83300,0.000
83400,0.000
83500,0.000
83600,0.000
83700,0.000
83800,0.000
83900,0.000
84000,0.000
84100,0.000
84200,0.000
84300,0.000
84400,0.000
84500,0.000
84600,0.000
84700,0.000
84800,0.000
84900,0.000
85000,0.000
85100,0.000
85200,0.000
85300,0.000
85400,0.000
85500,0.000
85600,0.000
85700,0.000
85800,0.000
85900,0.000
86000,0.000
86100,0.000
86200,0.000
86300,0.000
86400,0.000
86500,0.000
86600,0.000
86700,0.000
86800,0.000
86900,0.000
87000,0.000
87100,0.000
87200,0.000
87300,0.000
87400,0.000
87500,0.000
87600,0.000
87700,0.000
87800,0.000
87900,0.000
88000,0.000
88100,0.000
88200,0.000
88300,0.000
88400,0.000
88500,0.000
88600,0.000
88700,0.000
88800,0.000
88900,0.000
89000,0.000
89100,0.000
89200,0.000
89300,0.000
89400,0.000
89500,0.000
89600,0.000
89700,0.000
89800,0.000
89900,0.000
90000,0.000
90100,0.000
90200,0.000
90300,0.000
90400,0.000
90500,0.000
90600,0.000
90700,0.000
90800,0.000
90900,0.000
91000,0.000
91100,0.000
91200,0.000
91300,0.000
91400,0.000
91500,0.000
91600,0.000
91700,0.000
91800,0.000
91900,0.000
92000,0.000
92100,0.000
92200,0.000
92300,0.000
92400,0.000
92500,0.000
92600,0.000
92700,0.000
92800,0.000
92900,0.000
93000,0.000
93100,0.000
93200,0.000
93300,0.000
93400,0.000
93500,0.000
93600,0.000
93700,0.000
93800,0.000
93900,0.000
94000,0.000
94100,0.000
94200,0.000
94300,0.000
94400,0.000
94500,0.000
94600,0.000
94700,0.000
94800,0.000
94900,0.000
95000,0.000
95100,0.000
95200,0.000
95300,0.000
95400,0.000
95500,0.000
95600,0.000
95700,0.000
95800,0.000
95900,0.000
96000,0.000
96100,0.000
96200,0.000
96300,0.000
96400,0.000
96500,0.000
96600,0.000
96700,0.000
96800,0.000
96900,0.000
97000,0.000
97100,0.000
97200,0.000
97300,0.000
97400,0.000
97500,0.000
97600,0.000
97700,0.000
97800,0.000
97900,0.000
98000,0.000
98100,0.000
98200,0.000
98300,0.000
98400,0.000
98500,0.000
98600,0.000
98700,0.000
98800,0.000
98900,0.000
99000,0.000
99100,0.000
99200,0.000
99300,0.000
99400,0.000
99500,0.000
99600,0.000
99700,0.000
99800,0.000
99900,0.000
100000,0.000
100100,0.000
100200,0.000
100300,0.000
100400,0.000
100500,0.000
100600,0.000
100700,0.000
100800,0.000
100900,0.000
101000,0.000
101100,0.000
101200,0.000
101300,0.000
101400,0.000
101500,0.000
101600,0.000
101700,0.000
101800,0.000
101900,0.000
102000,0.000
102100,0.000
102200,0.000
102300,0.000
102400,0.000
102500,0.000
102600,0.000
102700,0.000
102800,0.000
102900,0.000
103000,0.000
103100,0.000
103200,0.000
103300,0.000
103400,0.000
103500,0.000
103600,0.000
103700,0.000
103800,0.000
103900,0.000
104000,0.000
104100,0.000
104200,0.000
104300,0.000
104400,0.000
104500,0.000
104600,0.000
104700,0.000
104800,0.000
104900,0.000
105000,0.000
105100,0.000
105200,0.000
105300,0.000
105400,0.000
105500,0.000
105600,0.000
105700,0.000
105800,0.000
105900,0.000
106000,0.000
106100,0.000
106200,0.000
106300,0.000
106400,0.000
106500,0.000
106600,0.000
106700,0.000
106800,0.000
106900,0.000
107000,0.000
107100,0.000
107200,0.000
107300,0.000
107400,0.000
107500,0.000
107600,0.000
107700,0.000
107800,0.000
107900,0.000
108000,0.000
108100,0.000
108200,0.000
108300,0.000
108400,0.000
108500,0.000
108600,0.000
108700,0.000
108800,0.000
108900,0.000
109000,0.000
109100,0.000
109200,0.000
109300,0.000
109400,0.000
109500,0.000
109600,0.000
109700,0.000
109800,0.000
109900,0.000
110000,0.000
110100,0.000
110200,0.000
110300,0.000
110400,0.000
110500,0.000
110600,0.000
110700,0.000
110800,0.000
110900,0.000
111000,0.000
111100,0.000
111200,0.000
111300,0.000
111400,0.000
111500,0.000
111600,0.000
111700,0.000
111800,0.000
111900,0.000
112000,0.000
112100,0.000
112200,0.000
112300,0.000
112400,0.000
112500,0.000
112600,0.000
112700,0.000
112800,0.000
112900,0.000
113000,0.000
113100,0.000
113200,0.000
113300,0.000
113400,0.000
113500,0.000
113600,0.000
113700,0.000
113800,0.000
113900,0.000
114000,0.000
114100,0.000
114200,0.000
114300,0.000
114400,0.000
114500,0.000
114600,0.000
114700,0.000
114800,0.000
114900,0.000
115000,0.000
115100,0.000
115200,0.000
115300,0.000
115400,0.000
115500,0.000
115600,0.000
115700,0.000
115800,0.000
115900,0.000
116000,0.000
116100,0.000
116200,0.000
116300,0.000
116400,0.000
116500,0.000
116600,0.000
116700,0.000
116800,0.000
116900,0.000
117000,0.000
117100,0.000
117200,0.000
117300,0.000
117400,0.000
117500,0.000
117600,0.000
117700,0.000
117800,0.000
117900,0.000
118000,0.000
118100,0.000
118200,0.000
118300,0.000
118400,0.000
118500,0.000
118600,0.000
118700,0.000
118800,0.000
118900,0.000
119000,0.000
119100,0.000
119200,0.000
119300,0.000
119400,0.000
119500,0.000
119600,0.000
119700,0.000
119800,0.000
119900,0.000
120000,0.000
120100,0.000
120200,0.000
120300,0.000
120400,0.000
120500,0.000
120600,0.000
120700,0.000
120800,0.000
120900,0.000
121000,0.000
121100,0.000
121200,0.000
121300,0.000
121400,0.000
121500,0.000
121600,0.000
121700,0.000
121800,0.000
121900,0.000
122000,0.000
122100,0.000
122200,0.000
122300,0.000
122400,0.000
122500,0.000
122600,0.000
122700,0.000
122800,0.000
122900,0.000
123000,0.000
123100,0.000
123200,0.000
123300,0.000
123400,0.000
123500,0.000
123600,0.000
123700,0.000
123800,0.000
123900,0.000
124000,0.000
124100,0.000
124200,0.000
124300,0.000
124400,0.000
124500,0.000
124600,0.000
124700,0.000
124800,0.000
124900,0.000
125000,0.000
125100,0.000
125200,0.000
125300,0.000
125400,0.000
125500,0.000
125600,0.000
125700,0.000
125800,0.000
125900,0.000
126000,0.000
126100,0.000
126200,0.000
126300,0.000
126400,0.000
126500,0.000
126600,0.000
126700,0.000
126800,0.000
126900,0.000
127000,0.000
127100,0.000
127200,0.000
127300,0.000
127400,0.000
127500,0.000
127600,0.000
127700,0.000
127800,0.000
127900,0.000
128000,0.000
128100,0.000
128200,0.000
128300,0.000
128400,0.000
128500,0.000
128600,0.000
128700,0.000
128800,0.000
128900,0.000
129000,0.000
129100,0.000
129200,0.000
129300,0.000
129400,0.000
129500,0.000
129600,0.000
129700,0.000
129800,0.000
129900,0.000
130000,0.000
130100,0.000
130200,0.000
130300,0.000
130400,0.000
130500,0.000
130600,0.000
130700,0.000
130800,0.000
130900,0.000
131000,0.000
131100,0.000
131200,0.000
131300,0.000
131400,0.000
131500,0.000
131600,0.000
131700,0.000
131800,0.000
131900,0.000
132000,0.000
132100,0.000
132200,0.000
132300,0.000
132400,0.000
132500,0.000
132600,0.000
132700,0.000
132800,0.000
132900,0.000
133000,0.000
133100,0.000
133200,0.000
133300,0.000
133400,0.000
133500,0.000
133600,0.000
133700,0.000
133800,0.000
133900,0.000
134000,0.000
134100,0.000
134200,0.000
134300,0.000
134400,0.000
134500,0.000
134600,0.000
134700,0.000
134800,0.000
134900,0.000
135000,0.000
135100,0.000
135200,0.000
135300,0.000
135400,0.000
135500,0.000
135600,0.000
135700,0.000
135800,0.000
135900,0.000
136000,0.000
136100,0.000
136200,0.000
136300,0.000
136400,0.000
136500,0.000
136600,0.000
136700,0.000
136800,0.000
136900,0.000
137000,0.000
137100,0.000
137200,0.000
137300,0.000
137400,0.000
137500,0.000
137600,0.000
137700,0.000
137800,0.000
137900,0.000
138000,0.000
138100,0.000
138200,0.000
138300,0.000
138400,0.000
138500,0.000
138600,0.000
138700,0.000
138800,0.000
138900,0.000
139000,0.000
139100,0.000
139200,0.000
139300,0.000
139400,0.000
139500,0.000
139600,0.000
139700,0.000
139800,0.000
139900,0.000
140000,0.000
140100,0.000
140200,0.000
140300,0.000
140400,0.000
140500,0.000
140600,0.000
140700,0.000
140800,0.000
140900,0.000
141000,0.000
141100,0.000
141200,0.000
141300,0.000
141400,0.000
141500,0.000
141600,0.000
141700,0.000
141800,0.000
141900,0.000
142000,0.000
142100,0.000
142200,0.000
142300,0.000
142400,0.000
142500,0.000
142600,0.000
142700,0.000
142800,0.000
142900,0.000
143000,0.000
143100,0.000
143200,0.000
143300,0.000
143400,0.000
143500,0.000
143600,0.000
143700,0.000
143800,0.000
143900,0.000
144000,0.000
144100,0.000
144200,0.000
144300,0.000
144400,0.000
144500,0.000
144600,0.000
144700,0.000
144800,0.000
144900,0.000
145000,0.000
145100,0.000
145200,0.000
145300,0.000
145400,0.000
145500,0.000
145600,0.000
145700,0.000
145800,0.000
145900,0.000
146000,0.000
146100,0.000
146200,0.000
146300,0.000
146400,0.000
146500,0.000
146600,0.000
146700,0.000
146800,0.000
146900,0.000
147000,0.000
147100,0.000
147200,0.000
147300,0.000
147400,0.000
147500,0.000
147600,0.000
147700,0.000
147800,0.000
147900,0.000
148000,0.000
148100,0.000
148200,0.000
148300,0.000
148400,0.000
148500,0.000
148600,0.000
148700,0.000
148800,0.000
148900,0.000
149000,0.000
149100,0.000
149200,0.000
149300,0.000
149400,0.000
149500,0.000
149600,0.000
149700,0.000
149800,0.000
149900,0.000
150000,0.000
150100,0.000
150200,0.000
150300,0.000
150400,0.000
150500,0.000
150600,0.000
150700,0.000
150800,0.000
150900,0.000
151000,0.000
151100,0.000
151200,0.000
151300,0.000
151400,0.000
151500,0.000
151600,0.000
151700,0.000
151800,0.000
151900,0.000
152000,0.000
152100,0.000
152200,0.000
152300,0.000
152400,0.000
152500,0.000
152600,0.000
152700,0.000
152800,0.000
152900,0.000
153000,0.000
153100,0.000
153200,0.000
153300,0.000
153400,0.000
153500,0.000
153600,0.000
153700,0.000
153800,0.000
153900,0.000
154000,0.000
154100,0.000
154200,0.000
154300,0.000
154400,0.000
154500,0.000
154600,0.000
154700,0.000
154800,0.000
154900,0.000
155000,0.000
155100,0.000
155200,0.000
155300,0.000
155400,0.000
155500,0.000
155600,0.000
155700,0.000
155800,0.000
155900,0.000
156000,0.000
156100,0.000
156200,0.000
156300,0.000
156400,0.000
156500,0.000
156600,0.000
156700,0.000
156800,0.000
156900,0.000
157000,0.000
157100,0.000
157200,0.000
157300,0.000
157400,0.000
157500,0.000
157600,0.000
157700,0.000
157800,0.000
157900,0.000
158000,0.000
158100,0.000
158200,0.000
158300,0.000
158400,0.000
158500,0.000
158600,0.000
158700,0.000
158800,0.000
158900,0.000
159000,0.000
159100,0.000
159200,0.000
159300,0.000
159400,0.000
159500,0.000
159600,0.000
159700,0.000
159800,0.000
159900,0.000
160000,0.000
160100,0.000
160200,0.000
160300,0.000
160400,0.000
160500,0.000
160600,0.000
160700,0.000
160800,0.000
160900,0.000
161000,0.000
161100,0.000
161200,0.000
161300,0.000
161400,0.000
161500,0.000
161600,0.000
161700,0.000
161800,0.000
161900,0.000
162000,0.000
162100,0.000
162200,0.000
162300,0.000
162400,0.000
162500,0.000
162600,0.000
162700,0.000
162800,0.000
162900,0.000
163000,0.000
163100,0.000
163200,0.000
163300,0.000
163400,0.000
163500,0.000
163600,0.000
163700,0.000
163800,0.000
163900,0.000
164000,0.000
164100,0.000
164200,0.000
164300,0.000
164400,0.000
164500,0.000
164600,0.000
164700,0.000
164800,0.000
164900,0.000
165000,0.000
165100,0.000
165200,0.000
165300,0.000
165400,0.000
165500,0.000
165600,0.000
165700,0.000
165800,0.000
165900,0.000
166000,0.000
166100,0.000
166200,0.000
166300,0.000
166400,0.000
166500,0.000
166600,0.000
166700,0.000
166800,0.000
166900,0.000
167000,0.000
167100,0.000
167200,0.000
167300,0.000
167400,0.000
167500,0.000
167600,0.000
167700,0.000
167800,0.000
167900,0.000
168000,0.000
168100,0.000
168200,0.000
168300,0.000
168400,0.000
168500,0.000
168600,0.000
168700,0.000
168800,0.000
168900,0.000
169000,0.000
169100,0.000
169200,0.000
169300,0.000
169400,0.000
169500,0.000
169600,0.000
169700,0.000
169800,0.000
169900,0.000
170000,0.000
170100,0.000
170200,0.000
170300,0.000
170400,0.000
170500,0.000
170600,0.000
170700,0.000
170800,0.000
170900,0.000
171000,0.000
171100,0.000
171200,0.000
171300,0.000
171400,0.000
171500,0.000
171600,0.000
171700,0.000
171800,0.000
171900,0.000
172000,0.000
172100,0.000
172200,0.000
172300,0.000
172400,0.000
172500,0.000
172600,0.000
172700,0.000
172800,0.000
172900,0.000
173000,0.000
173100,0.000
173200,0.000
173300,0.000
173400,0.000
173500,0.000
173600,0.000
173700,0.000
173800,0.000
173900,0.000
174000,0.000
174100,0.000
174200,0.000
174300,0.000
174400,0.000
174500,0.000
174600,0.000
174700,0.000
174800,0.000
174900,0.000
175000,0.000
175100,0.000
175200,0.000
175300,0.000
175400,0.000
175500,0.000
175600,0.000
175700,0.000
175800,0.000
175900,0.000
176000,0.000
176100,0.000
176200,0.000
176300,0.000
176400,0.000
176500,0.000
176600,0.000
176700,0.000
176800,0.000
176900,0.000
177000,0.000
177100,0.000
177200,0.000
177300,0.000
177400,0.000
177500,0.000
177600,0.000
177700,0.000
177800,0.000
177900,0.000
178000,0.000
178100,0.000
178200,0.000
178300,0.000
178400,0.000
178500,0.000
178600,0.000
178700,0.000
178800,0.000
178900,0.000
179000,0.000
179100,0.000
179200,0.000
179300,0.000
179400,0.000
179500,0.000
179600,0.000
179700,0.000
179800,0.000
179900,0.000
180000,0.000
180100,0.000
180200,0.000
180300,0.000
180400,0.000
180500,0.000
180600,0.000
180700,0.000
180800,0.000
180900,0.000
181000,0.000
181100,0.000
181200,0.000
181300,0.000
181400,0.000
181500,0.000
181600,0.000
181700,0.000
181800,0.000
181900,0.000
182000,0.000
182100,0.000
182200,0.000
182300,0.000
182400,0.000
182500,0.000
182600,0.000
182700,0.000
182800,0.000
182900,0.000
183000,0.000
183100,0.000
183200,0.000
183300,0.000
183400,0.000
183500,0.000
183600,0.000
183700,0.000
183800,0.000
183900,0.000
184000,0.000
184100,0.000
184200,0.000
184300,0.000
184400,0.000
184500,0.000
184600,0.000
184700,0.000
184800,0.000
184900,0.000
185000,0.000
185100,0.000
185200,0.000
185300,0.000
185400,0.000
185500,0.000
185600,0.000
185700,0.000
185800,0.000
185900,0.000
186000,0.000
186100,0.000
186200,0.000
186300,0.000
186400,0.000
186500,0.000
186600,0.000
186700,0.000
186800,0.000
186900,0.000
187000,0.000
187100,0.000
187200,0.000
187300,0.000
187400,0.000
187500,0.000
187600,0.000
187700,0.000
187800,0.000
187900,0.000
188000,0.000
188100,0.000
188200,0.000
188300,0.000
188400,0.000
188500,0.000
188600,0.000
188700,0.000
188800,0.000
188900,0.000
189000,0.000
189100,0.000
189200,0.000
189300,0.000
189400,0.000
189500,0.000
189600,0.000
189700,0.000
189800,0.000
189900,0.000
190000,0.000
190100,0.000
190200,0.000
190300,0.000
190400,0.000
190500,0.000
190600,0.000
190700,0.000
190800,0.000
190900,0.000
191000,0.000
191100,0.000
191200,0.000
191300,0.000
191400,0.000
191500,0.000
191600,0.000
191700,0.000
191800,0.000
191900,0.000
192000,0.000
192100,0.000
192200,0.000
192300,0.000
192400,0.000
192500,0.000
192600,0.000
192700,0.000
192800,0.000
192900,0.000
193000,0.000
193100,0.000
193200,0.000
193300,0.000
193400,0.000
193500,0.000
193600,0.000
193700,0.000
193800,0.000
193900,0.000
194000,0.000
194100,0.000
194200,0.000
194300,0.000
194400,0.000
194500,0.000
194600,0.000
194700,0.000
194800,0.000
194900,0.000
195000,0.000
195100,0.000
195200,0.000
195300,0.000
195400,0.000
195500,0.000
195600,0.000
195700,0.000
195800,0.000
195900,0.000
196000,0.000
196100,0.000
196200,0.000
196300,0.000
196400,0.000
196500,0.000
196600,0.000
196700,0.000
196800,0.000
196900,0.000
197000,0.000
197100,0.000
197200,0.000
197300,0.000
197400,0.000
197500,0.000
197600,0.000
197700,0.000
197800,0.000
197900,0.000
198000,0.000
198100,0.000
198200,0.000
198300,0.000
198400,0.000
198500,0.000
198600,0.000
198700,0.000
198800,0.000
198900,0.000
199000,0.000
199100,0.000
199200,0.000
199300,0.000
199400,0.000
199500,0.000
